table,table_title,sequence,column_name,label,data_type,units,minimum,maximum,domain,allowed_values,description
chfrags,Horizon Fragments,4,fragkind,Kind,Choice,,,,fragment_kind,"Aa lava fragments: A type of basaltic lava (material) having a rough, jagged, clinkery surface and a vesicular interior. Compare - block lava, pahoehoe lava, pillow lava. | Acidic-ash | Amphibolite fragments | Andesite fragments | Andesitic-ash | Rock anhydrite fragments: A sedimentary rock (evaporite) composed chiefly of mineral anhydrite (anhydrous CaSO4); The rock is generally massive, cryptocrystalline, and may exhibit rhythmic sedimentation (rhymites). Compare - rock gypsum, rock halite. SW | Anorthosite fragments | Arenite fragments | Argillite fragments | Arkose fragments | Basalt fragments | Basaltic-ash | Basic-ash | Bauxite fragments: An off-white to dark red brown weathered detritus or rock composed of aluminum oxides (mainly gibbsite with some boehmite and diaspore), iron hydroxides, silica, silt, and especially clay minerals. Bauxite originates in tropical and subtropical environments as highly weathered residue from carbonate or silicate rocks and can occur in concretionary, earthy, pisolitic or oolitic forms. SW & GG | Block lava fragments: Lava having a surface of angular blocks; it is similar to `a`a lava but the fragments are larger and more regular in shape, somewhat smoother, and less vesicular. Compare - `a`a lava, pahoehoe lava, pillow lava. | Non-volcanic breccia fragments | Acidic Non-volcanic breccia fragments | Basic Non-volcanic breccia fragments | Calcrete fragments | Carbonate concretions | Carbonate nodules | Carbonate rock fragments | Chalk fragments | Charcoal fragments | Chert fragments: A hard, extremely dense or compact, dull to semivitreous, cryptocrystalline sedimentary rock, consisting dominantly of interlocking crystals of quartz less than about 30 mm in diameter; it may contain amorphous silica (opal). It sometimes contains impurities such as calcite, iron oxide, or the remains of silicious and other organisims. It has a tough, splintery to conchoidal fracture and may be white or variously colored gray, green, blue, pink, red, yellow, brown, and black. Chet occurs principally as nodular or concretionary segregations in limestones and dolomites. | Cinders: Uncemented vitric, vesicular, pyroclastic material, more than 2.0 mm in at least one dimension, with an apparent specific gravity (including vesicles) of more than 1.0 and less than 2.0. Compare - ash [volcanic], block [volcanic], lapilli, tephra. | Claystone fragments | Coal fragments | Calcareous conglomerate fragments | Noncalcareous conglomerate fragments | Conglomerate fragments: A coarse-grained, clastic sedimentary rock composed of rounded to subangular rock fragments larger than 2 mm, commonly with a matrix of sand and finer material; cements include silica, calcium carbonate, and iron oxides. The consolidated equivalent of gravel. | Dacite fragments | Diabase fragments | Diatomite fragments: A light-colored, soft, siliceous sedimentary rock (generally consolidated) consisting chiefly of opaline diatom frustules deposited in a lacustrine or marine environment. Diatomite has a number of uses owing to its high surface area, absorptive capacity, and relative chemical stability but the term is generally reserved for deposits of actual or potential commercial value. | Diorite fragments | Dolomite fragments: A carbonate sedimentary rock consisting chiefly (more than 50 percent by weight or by areal percentages under the microscope) of the mineral dolomite. | Durinodes | Duripan fragments | Ejecta fragments | Ejecta-ash | Fanglomerate fragments | Gabbro fragments | Gibbsite concretions | Gibbsite nodules | Glauconite fragments | Gneiss fragments | Biotite gneiss fragments | Granodioritic gneiss fragments | Hornblende gneiss fragments | Migmatitic gneiss fragments | Muscovite-biotite gneiss fragments | Acidic gneiss fragments | Basic gneiss fragments | Granite fragments | Granitoid fragments: a) In the IUGS classification, a preliminary term for (for field use) for a plutonic rock with Q (quartz) between 20 and 40 (%). b) A general term for all phaneritic igneous rocks (mineral crystals visible unaided and all about the same size) dominated by quartz and feldspars. | Granodiorite fragments | Granofels fragments | Granulite fragments | Graywacke fragments | Greenstone fragments | Gypsum crystal fragments | Rock gypsum fragments: A sedimentary rock (evaporite) composed primarily of mineral gypsum (CaSO4.2H2O). The rock is generally massive, ranges from coarse crystalline to fine granular, may show disturbed bedding due to hydration expansion of parent anhydrite (anhydrous CaSO4), and may exhibit rhythmic sedimentation (rhymites). Compare gypsite. GG | Rock halite fragments: A sedimentary rock (evaporite) composed primarily of halite (NaCl). SW | Herbaceous material | Hornfels fragments | Acid igneous rock fragments | Basic igneous rock fragments | Coarse crystal igneous rock fragments | Fine crystal igneous rock fragments | Intermediate igneous rock fragments | Ultrabasic igneous rock fragments | Igneous rock fragments: Rock formed by solidification from a molten or partially molten state; major varieties include plutonic and volcanic rocks. Examples: andesite, basalt, granite. Compare - intrusive, extrusive. | Ignimbrite fragments | Interbedded sedimentary rock fragments | Iron-manganese concretions | Iron-manganese nodules | Ironstone nodules | Lapilli: Non or slightly vesicular pyroclastics, 2.0 to 76 mm in at least one dimension, with an apparent specific gravity of 2.0 or more. Compare - ash [volcanic], block [volcanic], cinders, tephra. | Latite fragments | Lignite fragments: A brownish-black carbon-rich deposit that is a metamorphic intermediate between peat and sub-bituminous coal . Dry lignite typically contains 60-70 % carbon. SW & GG | Arenaceous limestone fragments | Argillaceous limestone fragments | Cherty limestone fragments | Coral limestone fragments: An informal term for massive limestone composed primarily of coral and coral fragments commonly associated with marine islands or coral reefs in tropical or subtropical waters. Compare - coral island. SW | Phosphatic limestone fragments | Limestone fragments: A sedimentary rock consisting chiefly (more than 50 percent) of calcium carbonate, primarily in the form of calcite. Limestones are usually formed by a combination of organic and inorganic processes and include chemical and clastic (soluble and insoluble) constituents; many contain fossils. | Limestone-sandstone fragments | Limestone-sandstone-shale fragments | Limestone-shale fragments | Limestone-siltstone fragments | Limonite: A general 'field' term for various brown to yellowish brown, amorphous- to- cryptocrystalline hydrous ferric oxides that are an undetermined mixture of goethite, hematite, and lepidocrocite formed by weathering and iron oxidation from iron-bearing, rocks and minerals. SW & GG | Logs and stumps | Marble fragments | Marl fragments: An earthy, unconsolidated deposit consisting chiefly of calcium carbonate mixed with clay in approximately equal proportions (35 to 65 percent of each); formed primarily under freshwater lacustrine conditions, but varieties associated with more saline environments also occur. | Metaconglomerate fragments | Foliated metamorphic rock fragments | Metamorphic rock fragments: Rock of any origin altered in mineralogical composition, chemical composition, or structure by heat, pressure, and movement at depth in the earth's crust. Nearly all such rocks are crystalline. Examples: schist, gneiss, quartzite, slate, marble. | Metaquartzite fragments | Metasedimentary rock fragments | Metasiltstone fragments | Metavolcanic rock fragments | Mica fragments: A group of monoclinic phyllosilicate minerals with perfect basal cleavage that splits into thin elastic laminae and range from colorless to black. Large crystals of mica are referred to as a mica book. | Migmatite fragments | Mixed rock fragments | Mixed calcareous rock fragments | Mixed igneous and metamorphic rock fragments | Mixed igneous, metamorphic, and sedimentary rock fragments | Mixed igneous and sedimentary rock fragments | Mixed metamorphic and sedimentary rock fragments | Mixed noncalcareous rock fragments | Monzonite fragments | Mossy material | Mudstone fragments | Mylonite fragments | Novaculite: A dense, extremely finely grained, even-textured, siliceous, sedimentary rock similar to chert. It is hard, white to grayish-black in color, translucent on thin edges, has a dull to waxy luster, and displays smooth conchoidal fracture when broken. Novaculite principally occurs in the Marathon Uplift of Texas and Ouachita Mountains of Arkansas and Oklahoma where it forms erosion resistant ridges. Novaculite appears to form from chert recrystallization with microcrystalline quartz dominant over cryptocrystalline chalcedony. At the Ouachita Mountains type occurrence, novaculite formed by low-grade, thermal metamorphism of bedded chert. Novaculite is commercially quarried as a whetstone or oilstone. Compare - chert. GG & SW | Obsidian fragments | Organic material | Orthoquartzite fragments | Ortstein fragments | Oxide protected rock | Pahoehoe lava fragments: A type of basaltic lava (material) with a characteristically smooth, billowy or rope-like surface and vesicular interior. Compare - `a`a lava, block lava, pillow lava. | Peridotite fragments | Petrocalcic fragments | Petroferric fragments | Petrogypsic fragments | Phyllite fragments | Pillow lava fragments: A general term for lava displaying pillow structure (discontinuous, close-fitting, bun-shaped or ellipsoidal masses, generally < 1 m in diameter); considered to have formed in a subaqueous environment; such lava is usually basaltic or andesitic. Compare - `a`a lava, block lava, pahoehoe lava. | Plinthite nodules | Porcellanite fragments | Pumice fragments: A light-colored, vesicular, glassy rock commonly having the composition of rhyolite. It commonly has a specific gravity of < 1.0 and is thereby sufficiently buoyant to float on water. | Pyroclastic rock fragments | Pyroclastic fragments: Fragmental materials produced by usually explosive, aerial ejection of clastic particles from a volcanic vent. Such materials may accumulate on land or under water. | Pyroxenite fragments | Quartz fragments | Quartz-diorite fragments | Quartzite fragments | Quartz-monzonite fragments | Rhyolite fragments | Calcareous sandstone fragments | Glauconitic sandstone fragments | Noncalcareous sandstone fragments | Sandstone fragments: Sedimentary rock containing dominantly sand-size clastic particles. | Sandstone and shale fragments | Sandstone and siltstone fragments | Saprolite | Acidic schist fragments | Basic schist fragments | Biotite schist fragments: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily biotite. | Graphitic schist fragments | Mica schist fragments | Muscovite schist fragments: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily muscovite. | Sericite schist: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily sericite. A fine-grained muscovite | Schist fragments | Scoria fragments: Vesicular, cindery crust or bomb-sized fragments of such material on the surface of andesitic or basaltic lava, the vesicular nature of which is due to the escape of volcanic gases before solidification; it is usually heavier, darker, and more crystalline than pumice. Synonym - cinder. | Sedimentary rock fragments: A consolidated deposit of clastic particles, chemical precipitates, and organic remains accumulated at or near the surface of the earth under ""normal"" low temperature and pressure conditions. Sedimentary rocks include consolidated equivalents of alluvium, colluvium, drift, and eolian, lacustrine, marine deposits; e.g., sandstone, siltstone, mudstone, clay-stone, shale, conglomerate, limestone, dolomite, coal, etc. | Serpentinite fragments | Acid shale fragments | Calcareous shale fragments | Clayey shale fragments | Noncalcareous shale fragments | Shale fragments: Sedimentary rock formed by induration of a clay, silty clay, or silty clay loam deposit and having the tendency to split into thin layers, i.e., fissility. | Shale-siltstone fragments | Shell fragments | Silica concretions | Siltite fragments: A compact, weakly metamorphosed rock formed by alteration of siltstone, mudstone, or silty shale. Siltite is more indurated than mudstone or shale and lacks either shale fissility or slate-like cleavage. Siltite differs from argillite in that silt-size grains (0.002 to 0.062 mm) rather than clay-size (<0.002 mm) dominate the matrix. Siltite differs from siltstone, mudstone, or shale in that it exhibits very low to low grade metamorphic or diagenetic layer silicate and feldspar alteration to sericite, chlorite, and albite (subgreenschist to greenschist metamorphic facies) (Maxwell, 1973; Kidder, 1987). | Calcareous siltstone fragments | Noncalcareous siltstone fragments | Siltstone fragments: Sedimentary rock containing dominantly silt-size clastic particles. | Slate fragments | Sulfidic slate fragments | Soapstone fragments | Syenite fragments | Syenodiorite fragments | Tachylite fragments | Tonalite fragments | Trachyte fragments | Travertine fragments | Tripoli fragments: A light-colored, porous, friable, siliceous (largely chalcedonic) sedimentary rock, which occurs in powdery or earthy masses that result from the weathering of siliceous limestone. It has a harsh, rough feel and is used to polish metals and stones. | Tufa fragments | Tuff breccia fragments | Acidic tuff fragments | Basic tuff fragments | Tuff fragments: A compacted deposit that is 50 percent or more volcanic ash and dust | Welded tuff fragments | Ultramafic rock fragments | Volcanic bombs | Acidic volcanic breccia fragments | Basic volcanic breccia fragments | Volcanic breccia fragments | Volcanic rock fragments | Wood fragments",The lithology/composition of the 2 mm or larger fraction of the soil (20 mm or larger for wood fragments).
chfrags,Horizon Fragments,5,fragsize_l,Size - Low Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,Horizon Fragments,6,fragsize_r,Size - Representative Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,Horizon Fragments,7,fragsize_h,Size - High Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,Horizon Fragments,8,fragshp,Shape,Choice,,,,fragment_shape,Flat | Nonflat,A description of the overall shape of the fragment.
chfrags,Horizon Fragments,9,fraground,Roundness,Choice,,,,fragment_roundness,"Very angular: Strongly developed faces with very sharp, broken edges. | Angular: Strongly developed faces with sharp edges (SSM). | Subangular: Detectable flat faces with slightly-rounded corners. | Subrounded: Detectable flat faces with well-rounded corners (SSM). | Rounded: Flat faces absent or nearly absent with all corners rounded (SSM). | Well rounded: Flat faces absent with all corners rounded.","An expression of the sharpness of edges and corners of fragments. (Sedimentary Rocks, Pettijohn, 1957)"
chfrags,Horizon Fragments,10,fraghard,Hardness,Choice,,,,rupture_resist_block_cem,Noncemented: Stress applied ranges from 0 to 8 newtons. (SSM) | Extremely weakly cemented: Stress applied ranges from 8 to 20 newtons. (SSM) | Very weakly cemented: Stress applied ranges from 20 to 40 newtons. (SSM) | Weakly cemented: Stress applied ranges from 40 to 80 newtons. (SSM) | Weakly cemented*: Stress applied ranges from 8 to 80 newtons. (SSM) | Moderately cemented: Stress applied ranges from 80 to 160 newtons. (SSM) | Moderately cemented*: Stress applied ranges from 80 to 800 newtons. (SSM) | Strongly cemented: Stress applied ranges from 160 to 800 newtons. (SSM) | Strongly cemented*: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Very strongly cemented: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Indurated: Stress applied is greater than or equal 3 joules. (SSM) | Extremely strong | hard | soft,The hardness of a fragment.
chfrags,Horizon Fragments,11,chkey,Chorizon Key,String,,,,,,The unique identifier of a record in the Horizon table. Use this column to join the Horizon Fragments table to the Horizon table.
chfrags,Horizon Fragments,12,chfragskey,Chorizon Fragments Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Fragments table.
chorizon,Horizon,1,hzname,Designation,String,,,,,,"The full horizon designation, such as Ap, E, or 2Bt2, is shown in this column. Individual parts of the horizon designation (discontinuity, master horizon, suffixes) are in separate columns. The concatenated string of the individual parts used to distinguish different kinds of layers in the soil. (Soil Survey Manual)"
chorizon,Horizon,2,desgndisc,Disc,Integer,,2.00,99.00,,,"An Arabic numeral used to indicate a significant change in particle-size distribution or mineralogy that indicates a difference in the material from which the horizon(s) formed and/or a significant difference in age, unless that difference in age is indicated by the suffix ""b"". This numeral is one of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in the soil. (Soil Survey Manual)"
